Time,Agent 1,Agent 2,Agent 3,Agent 4
0.1,0,0,0,0
0.2,0,1.0,1.0,0
0.3,0,2.0,2.0,0
0.4,0,3.0,3.0,0
0.5,0,4.0,4.0,0
0.6,0,5.0,5.0,0
0.7,0,6.0,6.0,0
0.8,0,7.0,7.0,0
0.9,0,8.0,8.0,0
1.0,0,9.0,9.0,0
1.1,0,10.0,10.0,0
1.2,0,11.0,11.0,0
1.3,0,12.0,12.0,0
1.4,0,13.0,13.0,0
1.5,0,14.0,14.0,0
1.6,0,15.0,15.0,0
1.7,0,16.0,16.0,0
1.8,0,17.0,17.0,0
1.9,0,18.0,18.0,0
2.0,0,19.0,19.0,0
2.1,0,20.0,20.0,0
2.2,0,21.0,21.0,0
2.3,0,22.0,22.0,0
2.4,0,23.0,23.0,0
2.5,0,24.0,24.0,0
2.6,0,25.0,25.0,0
2.7,0,26.0,26.0,0
2.8,0,27.0,27.0,0
2.9,0,28.0,28.0,0
3.0,0,29.0,29.0,0
3.1,0,30.0,30.0,0
3.2,0,31.0,31.0,0
3.3,0,32.0,32.0,0
3.4,0,33.0,33.0,0
3.5,0,34.0,34.0,0
3.6,0,35.0,35.0,0
3.7,0,36.0,36.0,0
3.8,0,37.0,37.0,0
3.9,0,38.0,38.0,0
4.0,0,39.0,39.0,0
4.1,0,40.0,40.0,0
4.2,0,41.0,41.0,0
4.3,0,42.0,42.0,0
4.4,0,43.0,43.0,0
4.5,0,44.0,44.0,0
4.6,0,45.0,45.0,0
4.7,0,46.0,46.0,0
4.8,0,47.0,47.0,0
4.9,0,48.0,48.0,0
5.0,0,49.0,49.0,0
5.1,0,50.0,50.0,0
5.2,0,50.0,50.0,0
5.3,0,50.0,50.0,0
5.4,0,50.0,50.0,0
5.5,0,50.0,50.0,0
5.6,0,50.0,50.0,0
5.7,0,50.0,50.0,0
5.8,0,50.0,50.0,0
5.9,0,50.0,50.0,0
6.0,0,50.0,50.0,0
6.1,0,50.0,50.0,0
6.2,0,50.0,50.0,0
6.3,0,50.0,50.0,0
6.4,0,50.0,50.0,0
6.5,0,50.0,50.0,0
6.6,0,50.0,50.0,0
6.7,0,50.0,50.0,0
6.8,0,50.0,50.0,0
6.9,0,50.0,50.0,0
7.0,0,50.0,50.0,0
7.1,0,50.0,50.0,0
7.2,0,50.0,50.0,0
7.3,0,50.0,50.0,0
7.4,0,50.0,50.0,0
7.5,0,50.0,50.0,0
7.6,0,50.0,50.0,0
7.7,0,50.0,50.0,0
7.8,0,50.0,50.0,0
7.9,0,50.0,50.0,0
8.0,0,50.0,50.0,0
8.1,0,50.0,50.0,0
8.2,0,50.0,50.0,0
8.3,0,50.0,50.0,0
8.4,0,50.0,50.0,0
8.5,0,50.0,50.0,0
8.6,0,50.0,50.0,0
8.7,0,50.0,50.0,0
8.8,0,50.0,50.0,0
8.9,0,50.0,50.0,0
9.0,0,50.0,50.0,0
9.1,0,50.0,50.0,0
9.2,0,50.0,50.0,0
9.3,0,50.0,50.0,0
9.4,0,50.0,50.0,0
9.5,0,50.0,50.0,0
9.6,0,50.0,50.0,0
9.7,0,50.0,50.0,0
9.8,0,50.0,50.0,0
9.9,0,50.0,50.0,0
10.0,0,50.0,50.0,0
10.1,0,50.0,50.0,0
10.2,0,50.0,50.0,0
10.3,0,50.0,50.0,0
10.4,0,50.0,50.0,0
10.5,0,50.0,50.0,0
10.6,0,50.0,50.0,0
10.7,0,50.0,50.0,0
10.8,0,50.0,50.0,0
10.9,0,50.0,50.0,0
11.0,0,50.0,50.0,0
11.1,0,50.0,50.0,0
11.2,0,50.0,50.0,0
11.3,0,50.0,50.0,0
11.4,0,50.0,50.0,0
11.5,0,50.0,50.0,0
11.6,0,50.0,50.0,0
11.7,0,50.0,50.0,0
11.8,0,50.0,50.0,0
11.9,0,50.0,50.0,0
12.0,0,50.0,50.0,0
12.1,0,50.0,50.0,0
12.2,0,50.0,50.0,0
12.3,0,50.0,50.0,0
12.4,0,50.0,50.0,0
12.5,0,50.0,50.0,0
12.6,0,50.0,50.0,0
12.7,0,49.8,49.8,0
12.8,0,49.2022,49.2022,0
12.9,0,48.4118758,48.4118758,0
13.0,0,47.5333852662,47.5333852662,0
13.1,0,46.6196846372,46.6196846372,0
13.2,0,45.6975511769,45.6975511769,0
13.3,0,44.7804310685,44.7804310685,0
13.4,0,43.8749838237,43.8749838237,0
13.5,0,42.9844158103,42.9844158103,0
13.6,0,42.1101782135,42.1101782135,0
13.7,0,41.2528318706,41.2528318706,0
13.8,0,40.4124877268,40.4124877268,0
13.9,0,39.5890311217,39.5890311217,0
14.0,0,38.7822359646,38.7822359646,0
14.1,0,37.9918228215,37.9918228215,0
14.2,0,37.2174884349,37.2174884349,0
14.3,0,36.4589206917,36.4589206917,0
14.4,0,35.7158061809,35.7158061809,0
14.5,0,34.9878339782,34.9878339782,0
14.6,0,34.2746975092,34.2746975092,0
14.7,0,33.5760954361,33.5760954361,0
14.8,0,32.8917320473,32.8917320473,0
14.9,0,32.2213173958,32.2213173958,0
15.0,0,31.5645673108,31.5645673108,0
15.1,1.0,30.9212033452,30.9212033452,1.0
15.2,2.0,30.2909526929,30.2909526929,2.0
15.3,3.0,31.2909526929,31.2909526929,3.0
15.4,4.0,32.2909526929,32.2909526929,4.0
15.5,5.0,33.2909526929,33.2909526929,5.0
15.6,6.0,34.2909526929,34.2909526929,6.0
