Time,Agent 1,Agent 2,Agent 3,Agent 4
0.1,0,0,0,0
0.2,0.05,0.0,0.05,0.0
0.3,0.2,0.0,0.2,0.0
0.4,0.45,0.0,0.45,0.0
0.5,0.8,0.0,0.8,0.0
0.6,1.25,0.0,1.25,0.0
0.7,1.8,0.0,1.8,0.0
0.8,2.45,0.0,2.45,0.0
0.9,3.2,0.0,3.2,0.0
1.0,4.05,0.0,4.05,0.0
1.1,5.0,0.0,5.0,0.0
1.2,6.05,0.0,6.05,0.0
1.3,7.199999999999999,0.0,7.199999999999999,0.0
1.4,8.45,0.0,8.45,0.0
1.5,9.799999999999999,0.0,9.799999999999999,0.0
1.6,11.249999999999998,0.0,11.249999999999998,0.0
1.7,12.799999999999999,0.0,12.799999999999999,0.0
1.8,14.45,0.0,14.45,0.0
1.9,16.2,0.0,16.2,0.0
2.0,18.05,0.0,18.05,0.0
2.1,20.0,0.0,20.0,0.0
2.2,22.05,0.0,22.05,0.0
2.3,24.2,0.0,24.2,0.0
2.4,26.45,0.0,26.45,0.0
2.5,28.8,0.0,28.8,0.0
2.6,31.25,0.0,31.25,0.0
2.7,33.8,0.0,33.8,0.0
2.8,36.449999999999996,0.0,36.449999999999996,0.0
2.9,39.199999999999996,0.0,39.199999999999996,0.0
3.0,42.05,0.0,42.05,0.0
3.1,45.0,0.0,45.0,0.0
3.2,48.05,0.0,48.05,0.0
3.3,51.199999999999996,0.0,51.199999999999996,0.0
3.4,54.449999999999996,0.0,54.449999999999996,0.0
3.5,57.8,0.0,57.8,0.0
3.6,61.25,0.0,61.25,0.0
3.7,64.8,0.0,64.8,0.0
3.8,68.45,0.0,68.45,0.0
3.9,72.2,0.0,72.2,0.0
4.0,76.05,0.0,76.05,0.0
4.1,80.0,0.0,80.0,0.0
4.2,84.05,0.0,84.05,0.0
4.3,88.2,0.0,88.2,0.0
4.4,92.45,0.0,92.45,0.0
4.5,96.8,0.0,96.8,0.0
4.6,101.25,0.0,101.25,0.0
4.7,105.8,0.0,105.8,0.0
4.8,110.45,0.0,110.45,0.0
4.9,115.2,0.0,115.2,0.0
5.0,120.05,0.0,120.05,0.0
5.1,125.0,0.0,125.0,0.0
5.2,130.0,0.0,130.0,0.0
5.3,135.0,0.0,135.0,0.0
5.4,140.0,0.0,140.0,0.0
5.5,145.0,0.0,145.0,0.0
5.6,150.0,0.0,150.0,0.0
5.7,155.0,0.0,155.0,0.0
5.8,160.0,0.0,160.0,0.0
5.9,165.0,0.0,165.0,0.0
6.0,170.0,0.0,170.0,0.0
6.1,175.0,0.0,175.0,0.0
6.2,180.0,0.0,180.0,0.0
6.3,185.0,0.0,185.0,0.0
6.4,190.0,0.0,190.0,0.0
6.5,195.0,0.0,195.0,0.0
6.6,200.0,0.0,200.0,0.0
6.7,205.0,0.0,205.0,0.0
6.8,210.0,0.0,210.0,0.0
6.9,215.0,0.0,215.0,0.0
7.0,220.0,0.0,220.0,0.0
7.1,225.0,0.0,225.0,0.0
7.2,230.0,0.0,230.0,0.0
7.3,235.0,0.0,235.0,0.0
7.4,240.0,0.0,240.0,0.0
7.5,245.0,0.0,245.0,0.0
7.6,250.0,0.0,250.0,0.0
7.7,255.0,0.0,255.0,0.0
7.8,260.0,0.0,260.0,0.0
7.9,265.0,0.0,265.0,0.0
8.0,270.0,0.0,270.0,0.0
8.1,275.0,0.0,275.0,0.0
8.2,280.0,0.0,280.0,0.0
8.3,285.0,0.0,285.0,0.0
8.4,290.0,0.0,290.0,0.0
8.5,295.0,0.0,295.0,0.0
8.6,300.0,0.0,300.0,0.0
8.7,305.0,0.0,305.0,0.0
8.8,310.0,0.0,310.0,0.0
8.9,315.0,0.0,315.0,0.0
9.0,320.0,0.0,320.0,0.0
9.1,325.0,0.0,325.0,0.0
9.2,330.0,0.0,330.0,0.0
9.3,335.0,0.0,335.0,0.0
9.4,340.0,0.0,340.0,0.0
9.5,345.0,0.0,345.0,0.0
9.6,350.0,0.0,350.0,0.0
9.7,355.0,0.0,355.0,0.0
9.8,360.0,0.0,360.0,0.0
9.9,365.0,0.0,365.0,0.0
