Time,Agent 1,Agent 2,Agent 3,Agent 4
0.0,0,0,0,0
0.1,0.0,0.05,0.0,0.05
0.2,0.0,0.2,0.0,0.2
0.3,0.0,0.45,0.0,0.45
0.4,0.0,0.8,0.0,0.8
0.5,0.0,1.25,0.0,1.25
0.6,0.0,1.8,0.0,1.8
0.7,0.0,2.45,0.0,2.45
0.8,0.0,3.2,0.0,3.2
0.9,0.0,4.05,0.0,4.05
1.0,0.0,5.0,0.0,5.0
1.1,0.0,6.05,0.0,6.05
1.2,0.0,7.199999999999999,0.0,7.199999999999999
1.3,0.0,8.45,0.0,8.45
1.4,0.0,9.799999999999999,0.0,9.799999999999999
1.5,0.0,11.249999999999998,0.0,11.249999999999998
1.6,0.0,12.799999999999999,0.0,12.799999999999999
1.7,0.0,14.45,0.0,14.45
1.8,0.0,16.2,0.0,16.2
1.9,0.0,18.05,0.0,18.05
2.0,0.0,20.0,0.0,20.0
2.1,0.0,22.05,0.0,22.05
2.2,0.0,24.2,0.0,24.2
2.3,0.0,26.45,0.0,26.45
2.4,0.0,28.8,0.0,28.8
2.5,0.0,31.25,0.0,31.25
2.6,0.0,33.8,0.0,33.8
2.7,0.0,36.449999999999996,0.0,36.449999999999996
2.8,0.0,39.199999999999996,0.0,39.199999999999996
2.9,0.0,42.05,0.0,42.05
3.0,0.0,45.0,0.0,45.0
3.1,0.0,48.05,0.0,48.05
3.2,0.0,51.199999999999996,0.0,51.199999999999996
3.3,0.0,54.449999999999996,0.0,54.449999999999996
3.4,0.0,57.8,0.0,57.8
3.5,0.0,61.25,0.0,61.25
3.6,0.0,64.8,0.0,64.8
3.7,0.0,68.45,0.0,68.45
3.8,0.0,72.2,0.0,72.2
3.9,0.0,76.05,0.0,76.05
4.0,0.0,80.0,0.0,80.0
4.1,0.0,84.05,0.0,84.05
4.2,0.0,88.2,0.0,88.2
4.3,0.0,92.45,0.0,92.45
4.4,0.0,96.8,0.0,96.8
4.5,0.0,101.25,0.0,101.25
4.6,0.0,105.8,0.0,105.8
4.7,0.0,110.45,0.0,110.45
4.8,0.0,115.2,0.0,115.2
4.9,0.0,120.05,0.0,120.05
5.0,0.0,125.0,0.0,125.0
5.1,0.0,130.0,0.0,130.0
5.2,0.0,135.0,0.0,135.0
5.3,0.0,140.0,0.0,140.0
5.4,0.0,145.0,0.0,145.0
5.5,0.0,150.0,0.0,150.0
5.6,0.0,155.0,0.0,155.0
5.7,0.0,160.0,0.0,160.0
5.8,0.0,165.0,0.0,165.0
5.9,0.0,170.0,0.0,170.0
6.0,0.0,175.0,0.0,175.0
6.1,0.0,180.0,0.0,180.0
6.2,0.0,185.0,0.0,185.0
6.3,0.0,190.0,0.0,190.0
6.4,0.0,195.0,0.0,195.0
6.5,0.0,200.0,0.0,200.0
6.6,0.0,205.0,0.0,205.0
6.7,0.0,210.0,0.0,210.0
6.8,0.0,215.0,0.0,215.0
6.9,0.0,220.0,0.0,220.0
7.0,0.0,225.0,0.0,225.0
7.1,0.0,230.0,0.0,230.0
7.2,0.0,235.0,0.0,235.0
7.3,0.0,240.0,0.0,240.0
7.4,0.0,245.0,0.0,245.0
7.5,0.0,250.0,0.0,250.0
7.6,0.0,255.0,0.0,255.0
7.7,0.0,260.0,0.0,260.0
7.8,0.0,265.0,0.0,265.0
7.9,0.0,270.0,0.0,270.0
8.0,0.0,275.0,0.0,275.0
8.1,0.0,280.0,0.0,280.0
8.2,0.0,285.0,0.0,285.0
8.3,0.0,290.0,0.0,290.0
8.4,0.0,295.0,0.0,295.0
8.5,0.0,300.0,0.0,300.0
8.6,0.0,305.0,0.0,305.0
8.7,0.0,310.0,0.0,310.0
8.8,0.0,315.0,0.0,315.0
8.9,0.0,320.0,0.0,320.0
9.0,0.0,325.0,0.0,325.0
9.1,0.0,330.0,0.0,330.0
9.2,0.0,335.0,0.0,335.0
9.3,0.0,340.0,0.0,340.0
9.4,0.0,345.0,0.0,345.0
9.5,0.0,350.0,0.0,350.0
9.6,0.0,355.0,0.0,355.0
9.7,0.0,360.0,0.0,360.0
9.8,0.0,365.0,0.0,365.0
9.9,0.0,370.0,0.0,370.0
10.0,0.0,375.0,0.0,375.0
10.1,0.0,380.0,0.0,380.0
10.2,0.0,385.0,0.0,385.0
10.3,0.0,390.0,0.0,390.0
10.4,0.0,395.0,0.0,395.0
